bando,piattaforma,commento_p,target
bando pro loco,bandi online,molto impegnativa,0
bando accumulo anno 2017,siage,non non_trovato non_nessun non_intoppo,1
e di nuovo sport,bandi online,compilazione stata agevole stata molto preziosa assistenza telefonica signore colombo felici regione lombardia,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,chiaro abbastanza semplice procedura,1
bando accumulo anno 2017,bandi online,stato abbastanza semplice ora però devo verificare ultima fase sino materiale erogazione contributo,1
catalogazione del patrimonio culturale 2019,bandi online,procedura relativamente semplice tempistiche poco compatibili tempi ragionerie pa,0
promozione culturale legge 9 2018,bandi online,chiarezza bando gestione ogni passaggio,1
bando accumulo anno 2017,siage,sistema semplificato richiederebbe meno assistenza esterna,0
storevolution,bandi online,troppo lunghi tempi erogazione,0
genitori separati2020,bandi online,semplice veloce,1
ludopatie2017 linea 2 linea 3,bandi online,manuale d uso bando non non_chiare non_modalità non_rendicontative non_difficoltà non_ogni non_voce non_veniva non_calcolata non_quota non_compartecipazione non_cosa non non_mai non_stata non_specificata,0
criteri di individuazione soggetti dello spettacolo,bandi online,strumento informatico molto efficiente non non_molto non_intuitivo non_quando non_devono non_fare non_rendicontazioni non_suggerirei non_bacheca non_utente non_evidenzi non_cosa non_sospeso,1
faber i ed,bandi online,contributo interessante rispondente reali esigenze aziendali,1
bando accumulo anno 2017,siage,complicato,0
biblioteche ed archivi storici 2019 spese correnti,bandi online,procedure snelle immediata comprensione,1
rinnova autoveicoli,bandi online,bando é mirato sensibile esigenze attuali riguarda gestione unica pecca é tempistica po troppo dilatata,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,chiaro funzionale,1
bando accumulo anno 2017,bandi online,migliorare inserimento dati,0
bando accumulo anno 2017,siage,buon contibuto incentivare fonti energetiche ecologiche alternative,1
rinnova autoveicoli,bandi online,difficoltà rendicontazione,1
rinnova autoveicoli,bandi online,nuova esperienza approccio modalità operative necessitano essere po metabolizzate,1
garanziagiovanifaseii,bandi online,facile presentare domanda non non_altrettanto non_facile non_comprensione non_alcuni non_casi non_dato non_inserire non_servirebbe non_aggiunta non_manuale non_specifico non_spieghi non_dati non_inserire non_resto non_autenticazione non_veloce non_sito non_molto non_efficace,1
innodrivermisuraa,bandi online,incontrato parecchi problemi consuntivare spese investimento tipo b siage non non_differenzia non_acquisti non_fatti non_prima non_avvio non_progetto non_quali non_rendicontabile non_ammortamento non_fatti non_durante non_progetto non_quali non_rendicontabile non_intero non_importo non_manuale non non_spiega non_nulla non_riguardo non_risposta non_solo non_dopo non_6 non_mesi non_agosto non_gennaio,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,bando semplice comprensione utile snellire elenco documenti cartacei allegare domanda,1
dotazioni tecnico strumentali,bandi online,abbastanza semplice,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,facile buona soluzione aiutare disabili,1
rinnova autoveicoli,bandi online,semplice facile compilare,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,gestito bene,1
promozione culturale legge 9 2018,bandi online,sempre trovato attenzione risposte esaustive quesiti,1
smaltimento amianto anno 2019,bandi online,assistenza fornita operatori stata cortese efficiente tempestiva,1
turismoeattrattivita,bandi online,rispetto bandi passati trovato pò macchinoso far apporre timbro firma parte fornitore dicitura bonifici pò complessa,1
proposte di promozione della musica 2017,siage,importo erogato bando molto basso rispetto costo progetto presentato nonostante ciò rendicontazione prevede pagamento giustificativi quindi ben oltre importo contributo assegnato magari copre solo 5 costi rendicontazione sempre macchinosa notano miglioramenti rispetto altri anni elenco fornitori conteggio importi rendicontati visualizzazione pagine previsti inserimenti dati consuntivo confronto preventivo confusionaria disordinata potrebbe pensare utiizzo tabelle migliore visualizzazione dati,0
bando accumulo anno 2017,siage,potrebbe essere semplificato,1
bando accumulo anno 2017,bandi online,confrontato contesto preciso veloce richiesta assistenza trovato interlocutori preparati disponibili gentili complimenti,1
bando accumulo anno 2017,bandi online,comunque esperienza positiva,1
smaltimento amianto anno 2019,bandi online,prima fase rendicontazione difficilmente comprensibile basterebbe responsabili mettessero spalle cittadino entra prima volta sezione capire quali miglioramenti apportare nonostante giudizi non non_positivi non_espresso non_tengo non_precisare non_tutte non_persone non_risposto non_quesiti non_dimostrati non_estremamente non_cortesi non_molto non_disponibili,0
bando accumulo anno 2017,siage,70 anni utilizzo sistemi informatici superiore media riferito età non non_supporto non_figlio non non_stato non_grado non_solo non_svolgere non_parte non_informatica non_gestione non_bando non_domanda non_rendicontazione,0
garanziagiovanifaseii,bandi online,fatto decisamente bene ogni campo potrebbe avere vicino spiegazione documento riporta codice richiesto potrebbe aver prodotto fornito tale documento,1
criteri di individuazione soggetti dello spettacolo,bandi online,bando troppo lungo talvolta può generare incertezze parte dovrebbe uscire inizio anno maniera conoscere esito primavera certezza tempestiva programmare interventi terminarli entro anno,0
turismoeattrattivita,siage,aderito sola prima volta po macchino burocratico,1
rinnova autoveicoli,bandi online,erroneamente apre pratica bando non non_possibile non_eliminarla non_autonomia,1
promozione culturale legge 9 2017,siage,ottimo facilità caricamento dati alcuni errori procedurali non non_chiari non_allungato non_inutilmente non_processo,1
garanziagiovanifaseii,bandi online,problemi fase avvio procedimento non non_chiaro non_nemmeno non_risposto non_call non_center non_bisognasse non_aspettare non_procedura non_avviata non_altro non_novembre non_2019 non_quando non_agevolazione non_esisteva non_già non_quasi non_anno non_problemi non_caricare non_file non_firmato non_digitalmente non non_possibile non_nemmeno non_aprire non_file non_prima non_firmarlo non_altrimenti non_risulta non_danneggiato,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,trovato personale competente molto disponibile,1
bando accumulo anno 2017,bandi online,non non_problemi non_impostare non_domanda non_partecipazione non_bando,1
rinnova autoveicoli,bandi online,phone qualche problema visualizzazione bando non non_possibile non_avere non_visualizzazione non_real non_time non_fondo non_economico non_atto non_domanda,1
smaltimento amianto anno 2019,bandi online,facile comprensione piattaforma me non non_nativo non_digitale non_pronte non_risposte non_referenti non_bando non non_utili non_risposte non_numeri non_verdi non_troppo non_generiche,1
enti ecclesiastici anno 2019,bandi online,rigidità sistema informatico,0
smaltimento amianto anno 2019,bandi online,dovrebbero esserci note esplicative interno sito regionale,0
promozione culturale legge 9 2017,siage,rendicontazione lavoro infinito bisognerebbe rendicontare base contributo assegnato non non_base non_costi non_intero non_progetto,0
garanziagiovanifaseii,bandi online,alcuni punti potrebbe specificare meglio presenza scelte multiple,1
rinnova autoveicoli,bandi online,ottimo servizio,1
sostegno manifestazioni sportive,bandi online,difficoltà interpretazione richieste softwer documentazione prevista eccessiva programma prevede abilità informatica piccoli enti avvalgono volontari non non_sempre non_riescono non_sopperire non_richieste non_richiesta non_erogazione non_firma non_digitale non_creato non_difficoltà non_alcuni non_pc non non_supportavano non_programma non non_leggevano non_dispositivo non_lettura non_crs non non_aziende non_personale non_adibito non_progettazione,0
faber ii ed,bandi online,validissimo aiuto finanziario,1
rinnova autoveicoli,bandi online,lodevole ogni iniziativa pa modalita elettronica specifico bando rinnova autovetture fortunatamente requisiti chiari abbastanza universali documentazione produrre minima dovuto inviare correzione coordinate bancarie frattempo banca cambiato coordinate inviato comunicazione non non_ricevuto non_conferma non_qualcuno non_realmente non_effettuato non_cambio non_coordinate non_bancarie non_conferma non_molto non_utile non_grazie non_opportunita non_segnalare non_migliorie,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,semplice comprensibile,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,chiaro efficiente,1
autoimprenditorialità - articolo43,bandi online,risultato po rallentato caso devo rendicontare dote aprirne altra non non_possibilità non_farlo non_rendicontazione non non_ancora non_possibile non_fatto non_procedura non_rinuncia non_dote non_poter non_aprirne non_altra non_realtà non non_trattava non_rinuncia,0
faber iii ed,bandi online,chiarezza presentazione facile utilizzo piattaforma procedura guidata modo semplice immediato,1
garanziagiovanifaseii,bandi online,difficolta registrazione portale accesso portale caricamento documenti aggiornamento salvataggio pratica ricezione feedback vs canali assistenza mail tel ricezione feedback correttezza processo on line ricezione aggiornamento stato pratica on line lentezza processi assenza assistenza telefonica,0
bando pro loco,bandi online,alcune procedure potrebbero essere piu semplici snelle partecipazione bandi richiede sempre troppo tempo motivi burocratici occorre dedicare molto tempo,0
alvia,bandi online,bando molto complesso iter sviluppo temporale non non_proprio non_rapido non_odierne non_esigenze non_aziendali non_richiderebbero non_complesso non_opportunità non_certamente non_importante non_ancor non_efficacie non_snellita non_iter non_procedurale,0
rinnova autoveicoli,bandi online,utilissimo ringiovanire parco auto circolante,1
innevamento piste,siage,massima disponibilità,1
bando accumulo anno 2017,siage,forse potrebbe rendere po semplice senso ritengo partecipazione bando non non_portata non_meno non_prevedere non_possibilità non_presentazione non_cartacea,1
smaltimento amianto anno 2019,bandi online,non non_browser non_lavorano non_correttamente non_sito non_area non_personale non non_vedono non_domande non_fatte non_browser non non_giusto,0
faber i ed,bandi online,ottimo servizio peccato sportello altro cambiate carte presentare modalità operativa,1
innodriver misura a,siage,ottime opportunità collaborare realtà accreditate progetti ricerca sviluppo,1
bando accumulo anno 2017,bandi online,sempre però ansia sbagliare prima prendere dimestichezza vuole pò poi procede secondo me troppe scartoffie,1
asd 2019,bandi online,passaggi ben specificati assistenza disponibile caso bisogno,1
contributi asd ssd linea 1 e linea 2 2017,siage,pur dovuto inserire numerosi documenti riuscito credo terminare tempi rapidi senza particolari difficoltà tutta procedura magari tutte pratiche burocratiche potessero essere svolte modo,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,particolarmente lungo complesso poco pratico compilazione,0
faber iii ed,bandi online,incentivo aziende vogliono investire migliorare produzione,1
asd 2018,bandi online,criteri accesso benefici troppo ristretti,1
rinnova autoveicoli,bandi online,sommato abbastanza semplice,1
adeguamento sale spettacolo 2020,bandi online,bando chiaro assistenza diretta sempre puntuale esaustiva,1
contributi asd ssd linea 1 e linea 2 2017,siage,procedura rendicontazione troppo complicata,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,ottimizzare velocità risposte erogazione,1
turismoeattrattivita,siage,credo necessario semplificare sopratutto snellire pratica istruzioni specifiche parte esperti,0
rinnova autoveicoli,bandi online,vuole po tempo dedicare completare tanta concentrazione po pazienza riuscito bene solo,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,sempre chiarezza domande,1
bando pro loco,bandi online,risultato comunque stato raggiunto,1
asd 2018,bandi online,automazione processi non non_sempre non_congrua non_bando non_talvolta non_ridondante,0
enti ecclesiastici anno 2019,bandi online,durante esecuzione progetto cambiata procedura accesso pagina riservata me diventata molto laboriosa non non_troppo non_lineare non_poi non_volta non_entrati non_compilazione non_chiaro non_tenete non_presente non_67 non_anni non_elasticità non_inizia non_mancare,1
interventi urgenti di valorizzazione dei beni culturali 2018,bandi online,problemi inserimento dati rendicontazione imputabili sistema recapiti indicati risposto dopo 5 giorni permesso inserire documenti solo poche ore scadenza termine ultimo oltre orario lavoro uffici,0
turismoeattrattivita,siage,troppa burocrazia conseguenti costi,0
contributi asd ssd linea 1 e linea 2 2017,siage,fase rendicontazione potrebbe essere utile inserire possibilità duplicare spese inserite comprensive descrizione quietanza,1
fondo sale privati,bandi online,po difficoltoso capire passaggi arrivare fine percorsoottimo invece comunicazione parte personale indicazioni errori dovuti inserimento dati,0
asd 2018,bandi online,opportunità estremamente positiva comitati occupano sport rivolto giovani tutte fasce età digitalizzazione sistema previsti requisiti soluzione giusta grazie,1
contributi asd ssd linea 1 e linea 2 2017,siage,software molto semplice intuitivo,1
alvia,bandi online,bando ottimale aiutare sviluppo d impresa macchinoso rendicontazioni spiegazione progetto giustificato entità contributo offerto,1
turismoeattrattivita,siage,ritengo bando serio visto rivolto aziende solvibili non non_soliti non_tramini non_italiani non_soldi non_elargiti non_aziende non_fantasma,1
interventi urgenti di valorizzazione dei beni culturali 2017,siage,trattandosi cifre minime impegno partecipazione comunque notevole,0
rinnova autoveicoli,bandi online,avviso potrebbero essere semplificati passaggi é ben intuibile passaggi rapidi potrebbero ridurre tempi primo inserimento prenotazione secondo ritiro nuova auto elettrica relativo pagamento rottamazione dedicato 1ora mezza,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,perche utile finalizzata bisogni,1
rlo12019008323_arche misura b,bandi online,troppo macchinosa fase rendicontazione nuovo portale bandi on line,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,stato chiaro individuare procedura richiesta,1
alvia,bandi online,piattaforma semplice utilizzare manuali fatti abbastanza bene però parti non non_molto non_chiare non_indicato non_bando non_rendicontazione non_linee non_guida non_rendicontazione non_oltre non_incongruità non_procedura non_rendicontazione non_on non_line non_esempio non_articolo non_27 non_comma non_1 non_punto non_bando non_dice non_tutte non_operazioni non_finanziarie non_inerenti non_intervento non_agevolativo non_relative non_incassi non_pagamenti non_operazioni non_devono non_essere non_effettuate non_attraverso non_conto non_corrente non_indicato non_senza non_specificare non_indicato non_quindi non_può non_intendere non_solo non_indicato non_domanda non_invece non_fase non_rendicontazione non_quando non_trova non_area non_richiesta non_saldo non_vengono non_chiesti non_quali non_conti non_correnti non_utilizzati non_spese non_bando non_solo non_lì non_capisce non_potevano non_usare non_conti non_correnti non_effettuare non_pagamenti non_inoltre non_linee non_guida non_rendicontazione non_dice non_raggruppare non_unico non_file non_giustificativi non_spesa non_pagamenti non_suddivisi non_tipologia non_spesa non_invece non_procedura non_on non_line non_richiede non_caricare non_ogni non_singola non_fattura non_relative non_quietanze non_quindi non_predisposto non_file non_tutte non_fatture non_suddivise non_tipologia non_spesa non_relative non_quietanze non_dovuti non_suddividere non_nuovamente non_fattura non_fattura non_infine non_tengo non_sottolineare non_quando non_chiesto non_assistenza non_funzionari non_regione non_lombardia non_finlombarda non_stati non_sempre non_disponibili non_risposto non_tempi non_brevi non_quesiti,1
sicurezza_urbana_lotto_a_2017,siage,bando solitamente semplice schematico gestione,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,mancanza personale riferimento,1
asd 2018,bandi online,fase richiesta contributo complesso risulta agevole complicata fase rendicontazione potrebbe essere snellita indicazione giustificativi spesa complesso reputo buona procedura,1
enti ecclesiastici anno 2019,bandi online,piattaforma telematica troppo rigida non non_adatta non_cambiamenti non_seppure non_autorizzati non_esempio non_inizio non_lavori non_partito non_data non_diversa non_previsioni non_proroga non_concessa,1
rinnova autoveicoli,bandi online,faticavo capire quando entravo dati strada trovare bando,1
sicurezza_urbana_lotto_b_2017,siage,comprensibile ottimi referenti,1
bando pro loco,bandi online,devono essere spiegate modo chiaro preciso varie fasi compilazione preparare anticipo vari documenti firme digitali ecc,0
bando accumulo anno 2017,bandi online,non non_dato non_5 non_perchè non_20 non_settembre non_2017 non_mandato non_mail non_bando_accumulo non_regione non_lombardia non_it non_domanda non_tecnica non non_risposta,1
asd 2019,bandi online,ottima gestione rirose contributo,1
rinnova autoveicoli,bandi online,procedura abbastanza facile grazie,1
rinnova autoveicoli,bandi online,stato fedele inizialmente indicato,1
bando accumulo anno 2017,siage,ottima organizzazione,1
bando accumulo anno 2017,siage,po complesso gestire privato aiutata impresa fornitrice fotovoltaico,1
smaltimento amianto anno 2019,bandi online,trovato qualche difficoltà momento compilazione vari passaggi volta approvato ogni singolo step non non_possibile non_tornare non_indietro non_stato non_d non_aiuto non_poter non_visionare non_diverse non_schermate non_varie non_opzioni non_scelta non_prima non_ogni non_caso non_assistenza non_stata non_d non_aiuto non_celere non_riposte,1
turismoeattrattivita,siage,perche stato chiaro accessibile speriamo veloce rimborso,1
bando accumulo anno 2017,bandi online,migliorabile funzione fondi regione,1
alvia,bandi online,non non_alcun non_tipo non_problema,1
rlr12019008762_innodriver_misura_a_2019,bandi online,documentazione supporto minima indispensabile facile compilazione,1
faber i ed,bandi online,ringraziamo iniziativa davvero apprezzata,1
asd 2018,bandi online,seconda partecipazione bando emesso regione lombardia aspetto meno veloce certamente rendicontazione necessaria certamente poco snella chiara alcuni punti comunque ringrazio iniziative fate promotori,1
asd 2019,bandi online,fase rendicontazione farrugginosa poco chiara speranza andata bene,1
interventi e opere di difesa del suolo e regimazione idraulica,bandi online,fase rendicontazione mancavano indicazioni documentazione allegare,0
sicurezza_urbana_lotto_a_2017,siage,troppo macchinoso inoltre quando compilano primi moduli non non_nessuna non_informazione non_cosa non_verrà non_richiesto non_successivamente non_senza non_possibilità non_accedere non_moduli non_successivi non_creandosi non_cosi non_possibilità non_commettere non_errori non_compilazione non_moduli non_precedenti non non_sanabili non_successivamente,0
sostegno manifestazioni sportive,bandi online,gestione bando rendicontazione abbastanza intuitiva semplice compilare unica fase laboriosa caricamento spese quietanzate specialmente numerose comunque semplice esecuzione,1
bando accumulo anno 2017,siage,potrebbe migliorare rendendo presentazione domanda portale informazioni inserire chiara trasparente permettere preparare prima dati inserire servizio assistenza tecnica telefonica spesso non non_sa non_rispondere non_questioni non_solo non_tecniche non_rimanda non_gestori non_bando non_rispondono non_solo non_via non_email non non_numero non_dedicato non_rallenta non_procedura,0
faber ii ed,bandi online,molto chiari termini adempimenti effettuare,1
contributi asd ssd linea 1 e linea 2 2017,siage,complicata tecnica persona non non_settore non_contabile non_soprattuto non_riferito non_leggi,0
promozione culturale legge 9 2018,bandi online,fase rendicontazione molto dettagliata inserimento dati richiesti richiede molto tempo reperimento informazioni necessarie coinvolge diversi attori ciò allunga inevitabilmente tempi,0
genitori separati2020,bandi online,chiaro intuitivo semplice,1
garanziagiovanifaseii,bandi online,,0
asd 2019,bandi online,valutazione bando buona opportuno avere informazioni file documento contabile relative quietanze cioè dire vanno accorpati unico file,1
rinnova autoveicoli,bandi online,occorre prevedere procedura piu semplice,0
turismoeattrattivita,siage,tempi previsti bando stati veloci fase valutazione progetto lunghi fasi rendicontazione erogazione contributo,1
contributi asd ssd linea 1 e linea 2 2017,siage,po cervellotica fase rendicontazione,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,informazioni relative presentazione documenti chiare compilazione moduli stata aiutata dalll assistente sociale asl molto disponibile gentile,1
criteri di individuazione soggetti dello spettacolo,bandi online,riconoscimenti regionali bandi molto chiari finanziamenti annuali caso bandi strutture riconsciute triennio attività spettacolo multidiscilinari non non_capito non_usciti non_finanziamenti non_bene non_arrivassero non_via non_mail non_avvisi non_bandi non_strutture non_riconosciute,1
asd 2019,bandi online,chiaro intuitivo pò troppo burocratizzato non non_trovato non_comunque non_particolari non_problemi non_perchè non_già non_diversi non_anni non_partecipiamo non_bando non_quindi non_certa non_familiarità,1
asd 2018,bandi online,trovato difficoltosa rendicontazione non non_chiare non_voci non_passaggi non_riuscita non_tentativi,0
ebm imprese,siage,procedura rendicontazione troppo complessa appesantita costosa troppi allegati dichiarazioni richieste enorme sforzo impresa,1
rinnova autoveicoli,bandi online,molto buono scarsa informazione,1
autoimprenditorialità - articolo43,bandi online,riferisco bando 5702 apprendistato art 43 complessa prte iniziale avvio molto lunghi tempi liquidazione ente non non_ancora non_ricevuto non_pagamento non_dote non_linea non_chiusa non_giugno non_2018,0
promozione culturale legge 9 2017,siage,considerato caso progetti contributi relativamente piccoli fantastico rendicontazione snella meno complessa,0
produzione teatrale iniziative triennali 2018-2020,bandi online,ultimo file caricare prima invio protocollo richiesti documenti non non_fa non_menzione non_nessuna non_altra non_parte non_procedura non_inserimento non_consuntivo,0
contributi acquisto attrezzature vvff volontari,pec-peo,caratteristiche richieste bando formulazione preventivi complesse,0
rinnova autoveicoli,bandi online,richiesta certa competenza mezzi informatici struttura domanda avanzamento lineari fluidi,1
asd 2018,bandi online,schedulato bene necessita qualche leggera modifica non non_deve non_essere non_obbligatorio non_campo non_iva non_soggetti non non_iva,1
turismoeattrattivita,siage,assenza risposte richieste,0
bando_operazione_art.24_-_comunita_montana,sisco,cervellotico niente intuitivo composto azioni perditempo non non_possibile non_caricare non_scaricare non_sola non_operazione non_files non_8 non_pallogrammi non_ciascuno non_necessita non_conferma non_lunghissimo non_fermo non_qui non non_apparire non_troppo non_cattivo,0
e di nuovo sport,bandi online,compilazione intuitiva assistenza tecnica rapida efficiente persone molto gentili disponibili numero verde,1
promozione culturale legge 9 2017,siage,piattaforma siage presenta sempre lacune inoltre bando relativo promozione culturale documentazione richiesta modalità caricamento documenti sito eccessive,0
bando accumulo anno 2017,bandi online,procedure eccessivamente complesse,0
contributi asd ssd linea 1 e linea 2 2017,siage,procedura migliorabile rendendola snella,1
rinnova autoveicoli,bandi online,creato gestito modo ottimale complimenti,1
bando accumulo anno 2017,siage,stato problema tecnico accettazione firma digitale stato praticamente preso giro qualcuno non non_firmava non_nemmeno non_poi non_insistendo non_n non_volte non_riuscito non_far non_valere non_diritti non_accedere non_bando,0
produzione teatrale iniziative triennali 2018-2020,bandi online,pagine compilare ben strutturate così inserimento dati semplifica nonché eventuali modifiche,1
bando accumulo anno 2017,bandi online,riuscire compilare domanda bando dovuto buttar via giornata intera riuscire superare tutte difficoltà tecniche burocratiche compilare domanda non non_so non_italiani non_normali non_autonomia non_potuto non_riuscire non_compilare non_procedura non_fase non_rendicontazione non_stata non_fortuna non_molto non_semplice non non_capisco non_perchè non_obbligatorio non_inviare non_file non_copia non_ricevuta non_avvenuta non_trasmissione non_gse non_quando non_invece non_istruzioni non_specificato non_bisogna non_farlo non_solo non_impianti non_incentivati non_gse non_copia non_ricevuta non_avvenuta non_trasmissione non_gse non_inserimento non_sistema non_accumulo non_solo non_impianti non_incentivati non_gse,0
bando accumulo anno 2017,bandi online,gestito molto bene far capire necessità svoltare verso energia pulita,1
innodrivermisuraa,bandi online,chiaro preciso,1
bando accumulo anno 2017,bandi online,troppa burocrazia doppie richieste carte già inviate prima domanda contributo bando,0
garanziagiovanifaseii,bandi online,compilazione fasi accesso bando molto intuitive,1
e di nuovo sport,bandi online,fase rendicontazione impegna molto tempo perchè permettete caricamento fatture contabili unico documento ciò permette unione documenti così vuole molte tempo inoltre può incorre facilmente errori oppure va bene fare scansione documenti utile farlo fornitore non non_giustificativo non_volta,0
rivivi lombardia anno 2020,bandi online,funzionari dimostrati disponibili gentili,1
rinnova autoveicoli,bandi online,facilita inserimento dati documenti ricerca istruzioni informazioni,1
sostegno manifestazioni sportive,bandi online,chiaro efficace,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,assistente sociale occupava bando stata molto gentile disponibile,1
asd 2019,bandi online,perchè non non_trovato non_problemi non non_primo non_anno non_aderiamo non_quindi non_ormai non_acquistato non_abbastanza non_familiarità,1
rlr12019008762_innodriver_misura_a_2019,bandi online,perchè dovuto ripetere diverse volte passaggi realtà potrebbero essere automatici,1
musei 2018,bandi online,fin qui proceduto modo razionale,1
bando accumulo anno 2017,siage,buono utile risparmio energetico conseguenza inquinamento,1
turismoeattrattivita,siage,non non_sempre non_chiaro non_linguaggio non_utilizzato non_spesso non_dubbi non_procedura non non_vengono non_chiariti non_linee non_guida non_assistenza,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,lato positivo poter recuperare parte cifra spesa lato negativo dover anticipare tutta somma senza avere garanzia assoluta poter recuperare parte cifra spesa,0
rinnova autoveicoli,bandi online,oggi 4 maggio non non_ancora non_ricevuto non_bonifico,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,efficiente gentile,1
bando accumulo anno 2017,bandi online,accoglienza gentilezza buona programmazione efficaci richiami,1
asd 2018,bandi online,buon servizio non non_troppo non_complicato non_accessibile non_persone non_capacità non_standard non_utilizzo non_pc non_strumenti non_online non_migliorare non_parte non_rendicontazione non_permettendo non_maggiore non_libertà non_caricamento non_file non_ora non_accettato non_solo non_scansionato non_file non_volta non_ft non_pagamento,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,subito buoni risultati,1
e di nuovo sport,bandi online,diverse maniere trovato sempre persone rispondevano telefono mail richiesta chiarimenti ringrazio,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,buona descrizione spiegazione bando parere alcuni allegati potevano non non_esserci,1
e di nuovo sport,bandi online,caricamento file rindondanti,0
bando accumulo anno 2017,bandi online,molto buono sistema gestione domanda rendicontazione credo andrebbe migliorato sistema informativo emissione bandi regole partecipazione stati unici momenti servito contattare email riferimento chiarimenti,1
bando accumulo anno 2017,bandi online,problemi invio pratica spesso cadeva linea sito non non_molto non_intuitivo,1
rinnova autoveicoli,bandi online,ottima iniziativa supporto call center via mail stati entrambi molto puntuali professionali,1
nidigratis2019,bandi online,complesso gestione bando buona manuali istruzione vengono omessi alcuni passaggi,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,esauriente spiegazioni procedure seguire inoltrare domanda questione senza dimenticare cortesia,1
asd 2019,bandi online,caso problemi difficoltà avere risposte causa troppi uffici rimpallano problema,0
faber i ed,bandi online,bando valutazione ottima gestione supporto informativo parte bandofaber finlombarda it valutazione pessima non non_ricevuto non_risposta non_richiesta non_chiarimenti non_nemmeno non_telefonate non_sollecito non_pec non_gestione non_rendicontazione non_può non_essere non_migliorata,1
sostegno manifestazioni sportive,siage,piattaforma ben fatta procedura rendicontazione lunga ben dettagliata,1
adeguamento sale da spettacolo ed 2019,bandi online,ottima gestione documentazione rapidità erogazione contributo ottimo rapporto diretto referenti bando,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,molto complicato troppa burocrazia inoltre non non_trovo non_giusto non_aver non_pagato non_marca non_bollo non_16 non_euro,0
bando accumulo anno 2017,bandi online,assistenza ottima possibilità accedere fondi utili momenti,1
sicurezza_urbana_lotto_b_2017,siage,rispetto passato meno difficoltà accedere format sistema stabile non non_provocava non_timeout non_frequenti non_accadeva non_prima non_unica non_miglioria non_sento non_suggerire non_inserimento non_miniguida non_istantanea non_ogni non_voce non_campo non_callout non_apre non_grazie non_punto non_domanda non_posto non_fianco non_ogni non_voce,1
rinnova autoveicoli,bandi online,semplice veloce,1
biblioteche ed archivi storici 2019 spese correnti,bandi online,macchinoso accesso indirizzato siage non non_riuscivo non_vedere non_bando non_riferimento non_macchinosa non_procedura non_caricare non_moduli non_firma non_digitale,0
faber ii ed,bandi online,elementi positivi gestione bando complessivamente efficiente dimensione complessità modulistica accettabili tempi valutazione ragionevolmente brevi elementi perfettibili formula assegnazione fondi priorità istante immissione domanda rende procedura presentazione maniacale piattaforma presentazione bando timeout sessione troppo corto dopo pochi istanti inattività necessario rieffettuare accesso perdita tempo rischio errori,1
autoimprenditorialitã -articolo43,bandi online,non non_stato non_possibile non_completare non_procedura,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,mancata divulgazione bando attraverso realta piu vicine cittadino es comune residenza scuola,0
asd 2019,bandi online,mancata comunicazione relativa accettazione percorso modalità rendicontazione,1
musei 2016,siage,procedure troppo laboriose complicate,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,nonostante seguito passaggi inviato documenti richiesti domanda stata respinta mancanza documenti non non_stata non_fornita non_nessuna non_spiegazione non_riguardo non_inizio non_pensare non_truffa non non_neanche non_numero non_telefono non_poter non_chiamare non_ricevere non_spiegazioni,0
faber i ed,bandi online,sufficentemente chiaro,1
bando accumulo anno 2017,bandi online,migliorabile rendicontazione possibile caricare solo unico file fatture quietanze ecc,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,credo davvero cosa fantastica problema gravissimo udito no potuto sostenere sola spesa cosi alta contributo regione fondamentale posso venire ogni giorno ufficio protesi tempi personale stati fantastici grazie,1
bando accumulo anno 2017,bandi online,incertezze correttezza effettiva corrispondenza dati me inviati,1
e di nuovo sport,bandi online,troppo laboriosa fase rendicontazione poteva bastare inserire fattura pezza giustificativa estratto conto unico,0
